bank_id,bank_vendor,bank_amount,bank_date,matched_invoice,invoice_amount,amount_difference,date_difference_days,confidence,margin,status,predicted_transaction_id,correct
BANK-T0084,Axis Bank,57533.27,2026-07-16,INV-T0084,57533.27,0.0,0,100.0,17.0,AUTO_MATCH,T0084,True
BANK-T0085,Meta Platforms,78677.32,2026-07-26,INV-T0085,78677.32,0.0,0,100.0,49.0,AUTO_MATCH,T0085,True
BANK-T0086,Oracle,15860.91,2026-07-04,INV-T0053,16657.62,796.7099999999991,3,80.25,20.25,HUMAN_REVIEW,T0053,False
BANK-T0087,Tata Consultancy Services,43674.07,2026-07-14,INV-T0087,43674.07,0.0,0,100.0,31.0,AUTO_MATCH,T0087,True
BANK-T0088,Oracle,47235.44,2026-07-24,INV-T0088,47235.44,0.0,0,100.0,34.39,AUTO_MATCH,T0088,True
BANK-T0089,Amazon Web Services,67663.09,2026-07-21,INV-T0089,67663.09,0.0,0,100.0,19.75,AUTO_MATCH,T0089,True
BANK-T0090,Google,7000.65,2026-07-24,INV-T0090,7000.65,0.0,0,100.0,43.75,AUTO_MATCH,T0090,True
BANK-T0091,IBM,80258.66,2026-07-04,INV-T0091,80258.66,0.0,0,100.0,43.75,AUTO_MATCH,T0091,True
BANK-T0092,Meta,19967.42,2026-07-18,INV-T0092,19967.42,0.0,0,75.0,28.0,HUMAN_REVIEW,T0092,True
BANK-T0093,Deloitte,15299.9,2026-07-06,INV-T0093,14878.05,421.8500000000004,0,84.0,24.0,HUMAN_REVIEW,T0093,True
BANK-T0094,Adobe,46800.18,2026-07-28,INV-T0094,46800.18,0.0,0,100.0,34.39,AUTO_MATCH,T0094,True
BANK-T0095,Axis Bank,8463.1,2026-07-26,INV-T0095,8463.1,0.0,0,100.0,40.0,AUTO_MATCH,T0095,True
BANK-T0096,ICICI Bank,85740.72,2026-07-04,INV-T0096,85740.72,0.0,0,100.0,37.58,AUTO_MATCH,T0096,True
BANK-T0097,Amazon Web Services,65562.34,2026-07-21,INV-T0097,65562.34,0.0,3,96.25,12.25,AUTO_MATCH,T0097,True
BANK-T0098,ICICI Bank,2461.03,2026-07-03,INV-T0098,2461.03,0.0,0,100.0,41.5,AUTO_MATCH,T0098,True
BANK-T0099,Axis Bank,42319.54,2026-07-08,INV-T0099,75602.98,33283.439999999995,0,60.0,0.3500000000000014,UNRESOLVED,T0099,True
BANK-T0100,Microsoft,41234.99,2026-07-16,INV-T0100,41234.99,0.0,0,100.0,43.12,AUTO_MATCH,T0100,True
BANK-T0084-DUP,Axis Bank,57533.27,2026-07-16,INV-T0084,57533.27,0.0,0,100.0,17.0,AUTO_MATCH,T0084,True
BANK-T0027-DUP,Wipro,93728.8,2026-07-21,INV-T0027,93728.8,0.0,0,100.0,42.5,AUTO_MATCH,T0027,True
BANK-T0088-DUP,Oracle,47235.44,2026-07-24,INV-T0088,47235.44,0.0,0,100.0,34.39,AUTO_MATCH,T0088,True
BANK-T0034-DUP,Amazon Web Services,80699.53,2026-07-13,INV-T0034,80699.53,0.0,0,100.0,41.5,AUTO_MATCH,T0034,True
