invoice_id,vendor,amount,date,currency,transaction_id
INV-T0043,Amazon Web Services,58058.38,2026-07-27,INR,T0043
INV-T0044,Oracle,48247.53,2026-07-23,INR,T0044
INV-T0045,Wipro,6096.0,2026-07-24,INR,T0045
INV-T0046,Amazon Web Services,51732.72,2026-07-18,INR,T0046
INV-T0047,Amazon Web Services,78903.85,2026-07-24,INR,T0047
INV-T0048,IBM,35916.26,2026-07-13,INR,T0048
INV-T0049,Amazon Web Services,95257.21,2026-07-23,INR,T0049
INV-T0050,Infosys,94391.62,2026-07-16,INR,T0050
INV-T0051,Oracle,76105.54,2026-07-20,INR,T0051
INV-T0052,Deloitte,56436.47,2026-07-20,INR,T0052
INV-T0053,Microsoft,67461.27,2026-07-12,INR,T0053
INV-T0054,Amazon Web Services,28016.03,2026-07-27,INR,T0054
INV-T0055,Google,72407.92,2026-07-12,INR,T0055
INV-T0056,HDFC Bank,49060.99,2026-07-31,INR,T0056
INV-T0057,Wipro,76826.95,2026-07-31,INR,T0057
INV-T0058,IBM,91497.44,2026-07-07,INR,T0058
INV-T0059,Tata Consultancy Services,52566.97,2026-07-28,INR,T0059
INV-T0060,Oracle,93603.18,2026-07-02,INR,T0060
INV-T0061,Adobe,35522.49,2026-07-01,INR,T0061
INV-T0062,Tata Consultancy Services,25260.24,2026-07-06,INR,T0062
INV-T0063,Google,98353.44,2026-07-16,INR,T0063
INV-T0064,HDFC Bank,56013.59,2026-07-22,INR,T0064
INV-T0065,Accenture,41513.99,2026-07-20,INR,T0065
INV-T0066,Amazon Web Services,60611.59,2026-07-12,INR,T0066
INV-T0067,Axis Bank,14978.41,2026-07-11,INR,T0067
INV-T0068,Deloitte,10111.47,2026-07-09,INR,T0068
INV-T0069,ICICI Bank,57769.35,2026-07-18,INR,T0069
INV-T0070,Amazon Web Services,60390.16,2026-07-14,INR,T0070
INV-T0071,IBM,49055.62,2026-07-12,INR,T0071
INV-T0072,IBM,35432.0,2026-07-12,INR,T0072
INV-T0073,Google,55240.87,2026-07-31,INR,T0073
INV-T0074,Tata Consultancy Services,40110.9,2026-07-19,INR,T0074
INV-T0075,Infosys,59368.28,2026-07-01,INR,T0075
INV-T0076,Accenture,70547.9,2026-07-04,INR,T0076
INV-T0077,Axis Bank,50055.68,2026-07-22,INR,T0077
INV-T0078,HDFC Bank,15470.2,2026-07-14,INR,T0078
INV-T0079,Microsoft,23489.35,2026-07-08,INR,T0079
INV-T0080,Accenture,77847.98,2026-07-30,INR,T0080
INV-T0081,Amazon Web Services,19929.39,2026-07-01,INR,T0081
INV-T0082,Meta Platforms,31320.16,2026-07-19,INR,T0082
INV-T0083,Oracle,74479.14,2026-07-27,INR,T0083
INV-T0084,Axis Bank,66756.17,2026-07-03,INR,T0084
INV-T0085,Adobe,73797.87,2026-07-12,INR,T0085
INV-T0086,ICICI Bank,19739.91,2026-07-14,INR,T0086
INV-T0087,Google,5163.72,2026-07-02,INR,T0087
INV-T0088,Tata Consultancy Services,34204.67,2026-07-02,INR,T0088
INV-T0089,HDFC Bank,90541.47,2026-07-22,INR,T0089
INV-T0090,Infosys,73538.71,2026-07-29,INR,T0090
INV-T0091,HDFC Bank,9154.48,2026-07-16,INR,T0091
INV-T0092,Accenture,53571.67,2026-07-30,INR,T0092
INV-T0093,IBM,61283.53,2026-07-11,INR,T0093
INV-T0094,Accenture,89219.27,2026-07-11,INR,T0094
INV-T0095,Microsoft,51598.78,2026-07-25,INR,T0095
INV-T0096,Accenture,73404.13,2026-07-11,INR,T0096
INV-T0097,Tata Consultancy Services,2554.44,2026-07-12,INR,T0097
INV-T0098,Accenture,63935.16,2026-07-16,INR,T0098
INV-T0099,Meta Platforms,76924.51,2026-07-01,INR,T0099
INV-T0100,Microsoft,62364.48,2026-07-08,INR,T0100
