bank_id,bank_vendor,bank_amount,bank_date,matched_invoice,invoice_amount,amount_difference,date_difference_days,confidence,margin,status
BANK-T0036,Infosys,39368.1,2026-07-10,INV-T0036,39368.1,0.0,0,100.0,48.26,AUTO_MATCH
BANK-T0037,Deloitte,46647.19,2026-07-19,INV-T0037,46647.19,0.0,0,100.0,41.5,AUTO_MATCH
BANK-T0038,Deloitte,55720.11,2026-07-01,INV-T0038,55720.11,0.0,0,100.0,21.0,AUTO_MATCH
BANK-T0039,Axis Bank,15382.25,2026-07-03,INV-T0039,15382.25,0.0,0,100.0,25.0,AUTO_MATCH
BANK-T0040,Infosys,51048.88,2026-07-16,INV-T0040,51048.88,0.0,0,100.0,40.0,AUTO_MATCH
BANK-T0041,Google India,34493.13,2026-07-14,INV-T0041,34493.13,0.0,0,100.0,41.5,AUTO_MATCH
BANK-T0042,Wipro,15590.27,2026-07-12,INV-T0042,15590.27,0.0,0,100.0,48.5,AUTO_MATCH
BANK-T0043,Amazon Web Services,58058.38,2026-07-27,INV-T0043,58058.38,0.0,0,100.0,17.0,AUTO_MATCH
BANK-T0044,Oracle,48247.53,2026-07-23,INV-T0044,48247.53,0.0,0,100.0,43.75,AUTO_MATCH
BANK-T0045,Wipro,6096.0,2026-07-24,INV-T0045,6096.0,0.0,0,100.0,49.0,AUTO_MATCH
BANK-T0046,Amazon Web Services,51732.72,2026-07-22,INV-T0046,51732.72,0.0,4,96.25,37.75,AUTO_MATCH
BANK-T0047,Amazon Web Services,78903.85,2026-07-24,INV-T0047,78903.85,0.0,0,100.0,41.5,AUTO_MATCH
BANK-T0048,IBM,35916.26,2026-07-13,INV-T0048,35916.26,0.0,0,100.0,7.5,AUTO_MATCH
BANK-T0049,Amazon Web Services,95257.21,2026-07-23,INV-T0049,95257.21,0.0,0,100.0,36.9,AUTO_MATCH
BANK-T0050,Infosys,94391.62,2026-07-16,INV-T0050,94391.62,0.0,0,100.0,36.76,AUTO_MATCH
BANK-T0051,Oracle,76105.54,2026-07-20,INV-T0051,76105.54,0.0,0,100.0,25.0,AUTO_MATCH
BANK-T0052,Deloitte,29142.97,2026-07-20,INV-T0052,56436.47,27293.5,0,60.0,1.5,UNRESOLVED
BANK-T0053,MS,67461.27,2026-07-12,INV-T0053,67461.27,0.0,0,71.36,23.18,HUMAN_REVIEW
BANK-T0054,Amazon Web Services,28016.03,2026-07-27,INV-T0054,28016.03,0.0,0,100.0,40.0,AUTO_MATCH
BANK-T0055,Google,72407.92,2026-07-12,INV-T0055,72407.92,0.0,0,100.0,34.64,AUTO_MATCH
BANK-T0056,HDFC Bank,50830.67,2026-07-31,INV-T0056,49060.99,1769.6800000000003,0,84.0,19.0,HUMAN_REVIEW
BANK-T0057,Wipro,76826.95,2026-07-31,INV-T0057,76826.95,0.0,0,100.0,46.07,AUTO_MATCH
BANK-T0058,IBM,91497.44,2026-07-07,INV-T0058,91497.44,0.0,0,100.0,43.75,AUTO_MATCH
BANK-T0059,TCS,52566.97,2026-07-28,INV-T0059,52566.97,0.0,0,69.21,14.209999999999994,HUMAN_REVIEW
BANK-T0060,Oracle,93603.18,2026-07-02,INV-T0060,93603.18,0.0,0,100.0,40.0,AUTO_MATCH
BANK-T0061,Adobe,35522.49,2026-07-01,INV-T0061,35522.49,0.0,0,100.0,50.75,AUTO_MATCH
BANK-T0062,Tata Consultancy Services,25260.24,2026-07-07,INV-T0062,25260.24,0.0,1,98.5,36.0,AUTO_MATCH
BANK-T0063,Google,98353.44,2026-07-16,INV-T0063,98353.44,0.0,0,100.0,41.5,AUTO_MATCH
BANK-T0064,HDFC,56013.59,2026-07-22,INV-T0064,56013.59,0.0,0,82.69,23.689999999999998,HUMAN_REVIEW
BANK-T0065,Accenture,41513.99,2026-07-20,INV-T0020,87503.22,45989.23,5,56.25,0.0,UNRESOLVED
BANK-T0066,Amazon Web Services,60611.59,2026-07-12,INV-T0066,60611.59,0.0,0,100.0,3.5,HUMAN_REVIEW
BANK-T0067,Axis Bank,14978.41,2026-07-11,INV-T0067,14978.41,0.0,0,100.0,25.0,AUTO_MATCH
BANK-T0068,Deloitte,10111.47,2026-07-09,INV-T0068,10111.47,0.0,0,100.0,43.75,AUTO_MATCH
BANK-T0069,ICICI Bank,57769.35,2026-07-18,INV-T0069,57769.35,0.0,0,100.0,34.08,AUTO_MATCH
BANK-T0070,Amazon AWS,60390.16,2026-07-14,INV-T0070,60390.16,0.0,0,91.0,3.5,HUMAN_REVIEW
BANK-T0071,IBM,49055.62,2026-07-12,INV-T0071,49055.62,0.0,0,100.0,40.0,AUTO_MATCH
BANK-T0072,IBM,35789.67,2026-07-12,INV-T0048,35916.26,126.59000000000378,1,96.5,2.5,HUMAN_REVIEW
BANK-T0073,Google,55240.87,2026-08-03,INV-T0073,55240.87,0.0,3,96.25,45.39,AUTO_MATCH
BANK-T0074,Tata Consultancy Services,40110.9,2026-07-19,INV-T0074,40110.9,0.0,0,100.0,41.5,AUTO_MATCH
BANK-T0075,Infosys,59368.28,2026-07-01,INV-T0075,59368.28,0.0,0,100.0,41.5,AUTO_MATCH
BANK-T0076,Accenture,70547.9,2026-07-04,INV-T0076,70547.9,0.0,0,100.0,25.0,AUTO_MATCH
BANK-T0077,Axis Bank,32855.65,2026-07-22,INV-T0077,50055.68,17200.03,0,60.0,3.75,UNRESOLVED
BANK-T0078,HDFC Bank,15470.2,2026-07-14,INV-T0078,15470.2,0.0,0,100.0,37.0,AUTO_MATCH
BANK-T0079,MS,23489.35,2026-07-08,INV-T0079,23489.35,0.0,0,71.36,39.86,HUMAN_REVIEW
BANK-T0080,Accenture,77847.98,2026-08-03,INV-T0080,77847.98,0.0,4,96.25,40.0,AUTO_MATCH
BANK-T0081,Amazon AWS,19929.39,2026-07-01,INV-T0081,19929.39,0.0,0,91.0,38.79,AUTO_MATCH
BANK-T0082,Meta Platforms,31320.16,2026-07-19,INV-T0082,31320.16,0.0,0,100.0,49.0,AUTO_MATCH
BANK-T0083,Oracle,74479.14,2026-07-29,INV-T0083,74479.14,0.0,2,98.5,23.5,AUTO_MATCH
BANK-T0084,Axis Bank,66756.17,2026-07-03,INV-T0084,66756.17,0.0,0,100.0,39.75,AUTO_MATCH
BANK-T0085,Adobe,73797.87,2026-07-12,INV-T0085,73797.87,0.0,0,100.0,34.64,AUTO_MATCH
BANK-T0086,ICICI Bank,19739.91,2026-07-14,INV-T0086,19739.91,0.0,0,100.0,22.33,AUTO_MATCH
BANK-T0087,Google India,5163.72,2026-07-02,INV-T0087,5163.72,0.0,0,100.0,43.75,AUTO_MATCH
BANK-T0088,Tata Consultancy Services,34204.67,2026-07-02,INV-T0088,34204.67,0.0,0,100.0,43.75,AUTO_MATCH
BANK-T0089,HDFC Bank,50710.28,2026-07-22,INV-T0056,49060.99,1649.2900000000009,9,75.0,1.0,HUMAN_REVIEW
BANK-T0090,Infosys,73538.71,2026-07-29,INV-T0090,73538.71,0.0,0,100.0,17.0,AUTO_MATCH
BANK-T0091,HDFC Bank,9154.48,2026-07-21,INV-T0091,9154.48,0.0,5,96.25,37.75,AUTO_MATCH
BANK-T0092,Accenture,56066.16,2026-07-30,INV-T0092,53571.67,2494.4900000000052,0,84.0,24.0,HUMAN_REVIEW
BANK-T0093,IBM,61283.53,2026-07-11,INV-T0093,61283.53,0.0,0,100.0,41.5,AUTO_MATCH
BANK-T0094,Accenture,89219.27,2026-07-11,INV-T0020,87503.22,1716.050000000003,14,79.0,19.0,HUMAN_REVIEW
BANK-T0095,Microsoft,51598.78,2026-07-25,INV-T0010,49273.99,2324.790000000001,3,80.25,11.25,HUMAN_REVIEW
BANK-T0096,Accenture Pvt Ltd,73404.13,2026-07-11,INV-T0096,73404.13,0.0,0,100.0,25.0,AUTO_MATCH
BANK-T0097,Tata Consultancy Services,2630.31,2026-07-12,INV-T0097,2554.44,75.86999999999989,0,84.0,33.0,HUMAN_REVIEW
BANK-T0098,Accenture,30475.31,2026-07-16,INV-T0098,63935.16,33459.850000000006,0,60.0,1.5,UNRESOLVED
BANK-T0099,Meta,76924.51,2026-07-01,INV-T0099,76924.51,0.0,0,75.0,27.15,HUMAN_REVIEW
BANK-T0100,Microsoft,62364.48,2026-07-08,INV-T0100,62364.48,0.0,0,100.0,40.0,AUTO_MATCH
BANK-T0054-DUP,Amazon Web Services,28016.03,2026-07-27,INV-T0054,28016.03,0.0,0,100.0,40.0,AUTO_MATCH
BANK-T0045-DUP,Wipro,6096.0,2026-07-24,INV-T0045,6096.0,0.0,0,100.0,49.0,AUTO_MATCH
BANK-T0093-DUP,IBM,61283.53,2026-07-11,INV-T0093,61283.53,0.0,0,100.0,41.5,AUTO_MATCH
BANK-T0002-DUP,Infosys,47384.38,2026-07-21,INV-T0002,47384.38,0.0,0,100.0,43.75,AUTO_MATCH
